sales_date,product_type,product_name,quantity,price
2022-08-01 22:21:00,Signature Cocktail,白霜,1,0
2022-08-01 22:21:00,Signature Cocktail,琥珀,1,0
2022-08-01 22:21:00,Signature Cocktail,炙陽,1,0
2022-08-01 22:21:00,Special及活動,服務鈴,1,0
2022-08-01 22:21:00,Special及活動,服務鈴,1,0
2022-08-01 22:21:00,過往活動及已下架產品,綻,1,0
2022-08-01 22:21:00,過往活動及已下架產品,#crouchide 3,1,0
2022-08-01 22:21:00,過往活動及已下架產品,#crouchide 5,1,0
2022-08-01 22:21:00,過往活動及已下架產品,#crouchide 1,1,0
2022-08-01 22:21:00,過往活動及已下架產品,#crouchide 2,1,0
2022-08-01 23:19:00,香菸,七星硬盒10毫克,1,125
2022-08-01 23:59:00,Classic Cocktail,Side Car,1,350
2022-08-01 23:59:00,Other Classic,Long Island Iced Tea,1,380
2022-08-01 23:59:00,Other Classic,Long Island Iced Tea,1,380
2022-08-01 23:59:00,Other Classic,Long Island Iced Tea,1,430
2022-08-01 23:59:00,Signature Cocktail,琥珀,1,380
2022-08-01 23:59:00,Signature Cocktail,龍柏,1,400
2022-08-01 23:59:00,Signature Cocktail,哈庫那瑪塔塔,1,420
2022-08-01 23:59:00,Signature Cocktail,山海關,1,420
2022-08-01 23:59:00,下酒菜,松阪豬炒水蓮,1,220
2022-08-01 23:59:00,主食,香辣干燒蝦拌麵,1,260
2022-08-01 23:59:00,炸物,可樂果炸雞,1,320
2022-08-02 01:14:00,Classic Cocktail,Mai Tai,1,380
2022-08-02 01:14:00,Classic Cocktail,Aviation,1,350
2022-08-02 02:00:00,Classic Cocktail,Gin  Tonic,1,320
2022-08-02 02:00:00,Other Classic,Vesper,1,320
2022-08-02 17:22:00,香菸,雲斯頓呱旋風6毫克,1,100
2022-08-02 17:40:00,Other Classic,JagerBomb,1,350
2022-08-02 17:40:00,下酒菜,塔香菌菇炒蝦,1,380
2022-08-02 17:40:00,下酒菜,松阪豬炒水蓮,1,220
2022-08-02 17:40:00,主食,香辣干燒蝦拌麵,1,260
2022-08-02 17:40:00,湯物,酒蒸蛤蠣,1,320
2022-08-02 17:40:00,開胃小點,臥龍三椒鳳爪,1,120
