"排名","類別","銷售數量","數量占比%","銷售金額","金額占比%"
"","野菇櫻花蝦飯","25","11.74%","6,250","11.73%"
"","手工高麗菜豬肉水餃","27","12.68%","5,200","9.75%"
" 8 ","滷味","151","2.57%","42,620","3.49%"
"","秘制滷味拼盤","83","54.97%","28,800","67.57%"
"","香滷牛三寶拼盤","29","19.2%","11,020","25.86%"
"","自制滷豆干","39","25.83%","2,800","6.57%"
" 9 ","下酒菜","158","2.69%","41,750","3.42%"
"","松阪豬炒水蓮","94","59.49%","20,680","49.53%"
"","塔香菌菇炒蝦","29","18.35%","11,020","26.4%"
"","油潑香辣腱子肉","19","12.03%","4,560","10.92%"
"","麻辣鍋巴魚","10","6.33%","3,000","7.19%"
"","孜然霸王骨","6","3.8%","2,490","5.96%"
" 10 ","Beer","196","3.34%","36,000","2.95%"
"","PERONI draft beer","131","66.84%","30,750","85.42%"
"","1664 白啤酒","15","7.65%","3,000","8.33%"
"","GUINNESS","9","4.59%","2,250","6.25%"
"","Peroni Draft Beer 330ml","41","20.92%","0","0%"
" 11 ","特色餐點","118","2.01%","26,720","2.19%"
"","芥末蘋果蝦球","26","22.03%","8,840","33.08%"
"","蒜酥黃金魚皮","39","33.05%","8,580","32.11%"
"","烏金堅果乾酪燒","17","14.41%","4,080","15.27%"
"","黑白無腸","19","16.1%","3,420","12.8%"
"","特製皮蛋豆腐","17","14.41%","1,800","6.74%"
" 12 ","湯物","83","1.42%","26,560","2.17%"
"","酒蒸蛤蠣","76","91.57%","24,320","91.57%"
"","番茄豚肉湯","7","8.43%","2,240","8.43%"
" 13 ","Gin","59","1.01%","25,470","2.08%"
"","NORDÉS","14","23.73%","6,300","24.73%"
"","TOBERMORY","7","11.86%","3,150","12.37%"
"","LONEWOLF CACTUS & LIME","7","11.86%","2,800","10.99%"
"","EG Seaside","4","6.78%","1,600","6.28%"
"","M By Mac Malden","3","5.08%","1,350","5.3%"
"","THE BOTANIST 22","3","5.08%","1,350","5.3%"
"","BERLINER BRANDSTIFTER","3","5.08%","1,350","5.3%"
"","FOUR PILLARS BLOODY SHIRAZ","3","5.08%","1,350","5.3%"
"","ROKU","3","5.08%","1,140","4.48%"
"","季の美","2","3.39%","960","3.77%"
"","MONKEY 47","2","3.39%","900","3.53%"
"","LONEWOLF","2","3.39%","760","2.98%"
"","HENDRICK'S","1","1.75%","450","1.78%"
"","G'VINE","1","1.69%","450","1.77%"
"","FOUR PILLARS NAVY STRENGTH","1","1.69%","450","1.77%"
"","香の雫","1","1.69%","380","1.49%"
"","Hayman Sloe Gin","1","1.69%","380","1.49%"
"","OPIHR","1","1.69%","350","1.37%"
" 14 ","Shot","204","3.48%","15,650","1.28%"
"","Special Shot","39","19.12%","5,400","34.5%"
"","House Shot","86","42.16%","4,400","28.12%"
"","B52 Shot","9","4.41%","2,250","14.38%"
"","6 Cocktail Shots","61","29.9%","1,800","11.5%"
"","Jägerboomb Shot","9","4.41%","1,800","11.5%"
" 15 ","House Wine","107","1.82%","11,900","0.97%"
"","CALERA WHITE WINE","2","1.87%","4,400","36.97%"
"","Rockbare McLaren Vale Grenache","40","37.38%","3,500","29.41%"
"","Rockbare Clare Valley Riesling","64","59.82%","2,500","21.01%"
"","GRANDIAL SPARKLING WINE","1","0.93%","1,500","12.61%"
" 16 ","Soft Drink","72","1.23%","11,050","0.9%"
"","Earl Grey Milk Tea I/H","12","16.67%","2,640","23.89%"
"","Oolong Milk Tea I/H","11","15.28%","2,420","21.9%"
"","Coke","15","20.83%","1,500","13.57%"
"","Honey Lemon Water","10","13.89%","1,500","13.57%"
"","Latte I/H","4","5.56%","600","5.43%"
"","Oolong Tea I/H","4","5.56%","480","4.34%"
"","Tree Top Apple Juice","3","4.17%","360","3.26%"
"","Cramberry Juice","3","4.17%","360","3.26%"
"","Sprite","3","4.17%","300","2.71%"
"","Earl Grey Tea I/H","2","2.78%","240","2.17%"
"","Black Coffee I/H","2","2.78%","240","2.17%"
"","Red Bull","1","1.39%","160","1.45%"
"","Orange Juice","1","1.36%","150","1.38%"
