sales_date,product_type,product_name,amount,price
2022-08-03,Beer,PERONI draft beer,1,250
2022-08-03,Shot,House Shot,1,0
2022-08-03,Ocard金鑽會員點數兌換,金鑽兌換-純飲Shots乙盤(6杯) 25點,1,0
2022-08-03,Shot,House Shot,1,0
2022-08-04,Signature Cocktail,哈庫那瑪塔塔,1,420
2022-08-04,Beer,PERONI draft beer,1,250
2022-08-04,Beer,PERONI draft beer,1,250
2022-08-04,Beer,PERONI draft beer,1,250
2022-08-04,過往活動及已下架產品,#crouchide 4,1,0
2022-08-04,Signature Cocktail,龍柏,1,0
2022-08-04,過往活動及已下架產品,#crouchide 2,1,0
2022-08-04,Signature Cocktail,琥珀,1,0
2022-08-04,過往活動及已下架產品,#crouchide 5,1,0
2022-08-04,Signature Cocktail,炙陽,1,0
2022-08-04,過往活動及已下架產品,#crouchide 3,1,0
2022-08-04,Signature Cocktail,浮生若夢,1,0
2022-08-04,Signature Cocktail,浪子之琴,1,420
2022-08-04,Signature Cocktail,山海關,1,420
2022-08-04,香菸,雲斯頓天香5毫克,1,100
2022-08-04,Signature Cocktail,浮生若夢,1,400
2022-08-04,炸物,酥炸廣島牡蠣,1,320
2022-08-04,炸物,可樂果炸雞,1,320
2022-08-04,湯物,酒蒸蛤蠣,1,320
2022-08-04,下酒菜,孜然霸王骨,1,450
2022-08-04,Signature Cocktail,哈庫那瑪塔塔,1,420
2022-08-04,開胃小點,經典台式泡菜,1,80
2022-08-04,Signature Cocktail,白霜,1,380
2022-08-04,主食,香辣干燒蝦拌麵,1,260
2022-08-04,開胃小點,臥龍三椒鳳爪,1,120
2022-08-04,下酒菜,松阪豬炒水蓮,1,220
2022-08-04,炸物,太極雙醬薯條,1,220
2022-08-04,下酒菜,塔香菌菇炒蝦,1,380
2022-08-04,主食,香辣干燒蝦拌麵,1,260
2022-08-04,Signature Cocktail,東方美人,1,420
2022-08-04,湯物,酒蒸蛤蠣,1,320
2022-08-04,下酒菜,麻辣鍋巴魚,1,300
2022-08-04,特色餐點,蒜酥黃金魚皮,1,220
2022-08-04,醬料,蒜蓉朝天辣椒醬,1,0
2022-08-04,炸物,祥鳳雞翅,1,280
2022-08-04,醬料,蒜蓉朝天辣椒醬,1,0
2022-08-04,Signature Cocktail,東方美人,1,420
2022-08-04,特色餐點,烏金堅果乾酪燒,1,240
2022-08-04,湯物,酒蒸蛤蠣,1,320
2022-08-04,Beer,PERONI draft beer,1,250
2022-08-04,主食,干貝雞汁拌麵,1,260
2022-08-04,Signature Cocktail,東方美人,1,420
2022-08-04,主食,野菇櫻花蝦飯,1,250
2022-08-04,主食,干貝雞汁拌麵,1,260
2022-08-04,Signature Cocktail,龍柏,1,400
2022-08-04,炸物,太極雙醬薯條,1,220
2022-08-04,甜點,黑金流沙包,1,120
2022-08-04,Signature Cocktail,琥珀,1,380
2022-08-04,炸物,可樂果炸雞,1,320
2022-08-04,Signature Cocktail,雲初之上,1,400
2022-08-04,主食,香辣干燒蝦拌麵,1,260
2022-08-04,Signature Cocktail,仲夏 (PERONI仲夏限定特調),1,450
2022-08-04,開胃小點,臥龍三椒鳳爪,1,120
2022-08-04,炸物,轟炸雞軟骨,1,240
2022-08-04,Signature Cocktail,盛夏 (PERONI仲夏限定特調),1,400
2022-08-04,炸物,可樂果炸雞,1,320
2022-08-04,滷味,香滷牛三寶拼盤,1,380
2022-08-04,主食,干貝雞汁拌麵,1,260
2022-08-04,Signature Cocktail,白霜,1,380
2022-08-04,主食,干貝雞汁拌麵,1,260
2022-08-04,招待,招待Tequila Shot,5,0
2022-08-04,炸物,吉祥炸物拼盤,1,450
2022-08-04,Ocard兌換券,O-迎賓小點,1,0
2022-08-04,Ocard兌換券,黃金會員入會禮兌換券,4,0
2022-08-04,Ocard兌換券,O-迎賓小點,4,0
2022-08-04,Ocard兌換券,O-壽星特調,1,0
2022-08-04,Signature Cocktail,浮生若夢,1,400
2022-08-04,主食,香辣干燒蝦拌麵,1,260
2022-08-04,Ocard兌換券,黃金會員入會禮兌換券,1,0
2022-08-04,Signature Cocktail,琥珀,1,380
2022-08-04,滷味,自制滷豆干,1,100
2022-08-04,Classic Cocktail,Mojito,1,350
2022-08-04,Ocard兌換券,會員生日禮,1,0
2022-08-04,Signature Cocktail,炙陽,1,380
2022-08-04,開胃小點,經典台式泡菜,1,80
2022-08-04,Ocard兌換券,黃金會員二樓限定酒水兌換券,5,0
2022-08-04,主食,干貝雞汁拌麵,1,260
2022-08-04,炸物,太極雙醬薯條,1,220
2022-08-04,Other Classic,Gin Fizz,1,350
2022-08-04,Signature Cocktail,尋根,1,400
2022-08-04,滷味,秘制滷味拼盤,1,360
2022-08-04,Classic Cocktail,Mojito,1,350
2022-08-04,Classic Cocktail,Negroni,1,380
2022-08-04,Signature Cocktail,浪子之琴,1,420
2022-08-04,Signature Cocktail,琥珀,1,380
2022-08-04,主食,野菇櫻花蝦飯,1,250
2022-08-04,湯物,番茄豚肉湯,1,320
2022-08-04,Signature Cocktail,初夏 (PERONI仲夏限定特調),1,400
2022-08-04,開胃小點,臥龍三椒鳳爪,1,120
2022-08-04,Signature Cocktail,尋根,1,400
2022-08-04,Signature Cocktail,白霜,1,380
2022-08-04,Signature Cocktail,雲初之上,1,400
2022-08-04,Classic Cocktail,Old Fashion,1,350
2022-08-04,滷味,秘制滷味拼盤,1,360
2022-08-04,下酒菜,松阪豬炒水蓮,1,220
2022-08-04,Classic Cocktail,Mojito,1,350
2022-08-04,Classic Cocktail,Gin  Tonic,1,320
2022-08-04,Classic Cocktail,Penicillin,1,400
2022-08-04,Special及活動,Special Cocktail,1,350
2022-08-04,主食,干貝雞汁拌麵,1,260
2022-08-04,炸物,可樂果炸雞,1,320
2022-08-04,湯物,番茄豚肉湯,1,320
2022-08-04,Signature Cocktail,尋根,1,400
2022-08-04,Gin,THE BOTANIST 22,1,450
2022-08-04,滷味,香滷牛三寶拼盤,1,380
2022-08-04,主食,香辣干燒蝦拌麵,1,260
2022-08-04,主食,香辣干燒蝦拌麵,1,260
2022-08-04,過往活動及已下架產品,綻,2,0
2022-08-04,滷味,秘制滷味拼盤,1,360
2022-08-04,特色餐點,烏金堅果乾酪燒,1,240
2022-08-04,Signature Cocktail,尋根,1,400
2022-08-04,Signature Cocktail,龍柏,1,400
2022-08-04,Signature Cocktail,琥珀,1,380
2022-08-04,主食,香辣干燒蝦拌麵,1,260
2022-08-04,甜點,冰心綠豆糕,1,120
2022-08-04,Signature Cocktail,雲初之上,1,400
2022-08-04,下酒菜,麻辣鍋巴魚,1,300
2022-08-04,炸物,可樂果炸雞,1,320
2022-08-04,下酒菜,油潑香辣腱子肉,1,240
2022-08-04,滷味,秘制滷味拼盤,1,360
2022-08-04,Ocard兌換券,會員生日禮,1,0
2022-08-04,炸物,酥炸廣島牡蠣,1,320
2022-08-04,湯物,番茄豚肉湯,1,320
2022-08-04,Special及活動,Special Cocktail,1,400
2022-08-04,Signature Cocktail,琥珀,1,380
2022-08-04,炸物,太極雙醬薯條,1,220
2022-08-04,醬料,松露酸奶醬,1,30
2022-08-04,Signature Cocktail,尋根,1,400
2022-08-04,Signature Cocktail,哈庫那瑪塔塔,1,420
2022-08-04,開胃小點,酸辣土豆絲,1,80
2022-08-04,Other Classic,JagerBomb,1,350
2022-08-04,下酒菜,麻辣鍋巴魚,1,300
2022-08-04,Ocard兌換券,O-壽星特調,1,0
2022-08-04,甜點,冰心綠豆糕,2,240
2022-08-04,甜點,黑金流沙包,2,240
2022-08-04,Signature Cocktail,仲夏 (PERONI仲夏限定特調),1,450
2022-08-04,滷味,秘制滷味拼盤,2,720
2022-08-04,Soft Drink,Honey Lemon Water,2,300
2022-08-04,主食,野菇櫻花蝦飯,2,500
2022-08-04,下酒菜,塔香菌菇炒蝦,2,760
2022-08-04,下酒菜,松阪豬炒水蓮,2,440
2022-08-04,特色餐點,蒜酥黃金魚皮,2,440
2022-08-04,招待,招待Whisky Shot,9,0
2022-08-04,Special及活動,Special Mocktail,1,250
2022-08-04,Classic Cocktail,Old Fashion,1,350
2022-08-04,Signature Cocktail,仲夏 (PERONI仲夏限定特調),1,450
2022-08-04,Special及活動,Special Mocktail,2,500
2022-08-04,湯物,酒蒸蛤蠣,2,640
2022-08-04,特色餐點,特製皮蛋豆腐,2,240
2022-08-04,主食,香辣干燒蝦拌麵,2,520
2022-08-04,Signature Cocktail,仲夏 (PERONI仲夏限定特調),1,450
2022-08-04,Signature Cocktail,初夏 (PERONI仲夏限定特調),1,400
2022-08-04,下酒菜,油潑香辣腱子肉,2,480
2022-08-04,炸物,吉祥炸物拼盤,2,900
2022-08-04,開胃小點,酸辣土豆絲,2,160
2022-08-04,香菸,雲斯頓呱旋風6毫克,1,100
2022-08-04,招待,招待Gin Shot,3,0
2022-08-04,招待,招待 Vodka Shot,12,0
2022-08-04,招待,員工喝 Redbull,1,0
2022-08-04,招待,招待Tequila Shot,5,0
