sales_date,product_type,product_name,product_price,product_amount,sales_price,discount,discount_total,real_receive_price
2022-08-05 01:43:05,Signature Cocktail,琥珀,380,1,380,0,0,380
2022-08-05 01:43:05,Signature Cocktail,尋根,400,1,400,0,0,400
2022-08-05 01:43:05,Signature Cocktail,哈庫那瑪塔塔,420,1,420,0,0,420
2022-08-17 19:42:09,Beer,PERONI draft beer,250,1,250,0,0,250
2022-08-17 19:42:09,Beer,PERONI draft beer,250,1,250,0,0,250
2022-08-17 19:42:09,Other Classic,Long Island Iced Tea,380,1,380,0,0,380
2022-08-24 23:42:19,Classic Cocktail,God Father,350,1,350,0,0,350
2022-08-24 23:42:19,Signature Cocktail,尋根,400,1,400,0,0,400
2022-08-24 23:42:19,Signature Cocktail,浪子之琴,420,1,420,0,0,420
2022-08-24 23:42:19,Signature Cocktail,仲夏 (PERONI仲夏限定特調),450,1,450,0,0,450
2022-08-25 22:22:53,Classic Cocktail,Mojito,350,1,350,0,0,350
2022-08-25 22:22:53,Signature Cocktail,琥珀,380,1,380,0,0,380
2022-08-25 22:22:53,Signature Cocktail,尋根,400,1,400,0,0,400
2022-08-25 22:22:53,Signature Cocktail,龍柏,400,1,400,0,0,400
2022-08-25 22:22:53,Signature Cocktail,哈庫那瑪塔塔,420,1,420,0,0,420
2022-08-09 00:40:36,Signature Cocktail,哈庫那瑪塔塔,420,1,420,0,0,420
2022-08-06 02:00:16,Classic Cocktail,Side Car,350,1,350,0,0,350
2022-08-06 02:00:16,Signature Cocktail,琥珀,380,1,380,0,0,380
2022-08-31 22:52:00,Classic Cocktail,Mojito,350,1,350,0,0,350
2022-08-31 22:52:00,Classic Cocktail,Mojito,350,1,350,0,0,350
2022-08-31 22:52:00,Classic Cocktail,Gin  Tonic,320,2,640,0,0,640
2022-08-31 22:52:00,Classic Cocktail,Mojito,350,2,700,0,0,700
2022-08-13 01:44:24,Shot,6 Cocktail Shots(6杯一樣),0,1,0,0,0,0
2022-08-13 01:44:24,Signature Cocktail,雲嫣,380,1,380,0,0,380
2022-08-13 01:44:24,Signature Cocktail,雲初之上,400,1,400,0,0,400
2022-08-13 01:44:24,Signature Cocktail,盛夏 (PERONI仲夏限定特調),400,1,400,0,0,400
2022-08-11 23:57:26,Signature Cocktail,琥珀,380,1,380,0,0,380
2022-08-11 23:57:26,Signature Cocktail,東方美人,420,1,420,0,0,420
2022-08-11 23:57:26,Signature Cocktail,哈庫那瑪塔塔,420,1,420,0,0,420
2022-08-05 01:32:27,Classic Cocktail,Negroni,380,1,380,0,114,266
2022-08-26 23:21:28,House Wine,Rockbare McLaren Vale Grenache Red Wine(Glass),0,1,0,0,0,0
2022-08-26 23:21:28,House Wine,Rockbare McLaren Vale Grenache Red Wine(Glass),0,1,0,0,0,0
2022-08-26 23:21:28,Signature Cocktail,琥珀,380,1,380,0,114,266
2022-08-18 01:36:22,Classic Cocktail,Mojito,350,1,350,0,0,350
2022-08-18 01:36:22,Signature Cocktail,白霜,380,1,380,0,0,380
2022-08-18 01:36:22,Signature Cocktail,山海關,420,1,420,0,0,420
2022-08-01 23:31:30,Other Classic,Sangria,380,1,380,0,0,380
2022-08-01 23:31:30,Signature Cocktail,琥珀,380,1,380,0,0,380
2022-08-01 23:31:30,Signature Cocktail,琥珀,380,1,380,0,0,380
2022-08-01 23:31:30,Signature Cocktail,龍柏,400,1,400,0,0,400
2022-08-24 20:37:16,Classic Cocktail,Gin  Tonic,320,1,320,0,0,320
2022-08-24 20:37:16,Classic Cocktail,Gin  Tonic,320,1,320,0,0,320
2022-08-24 20:37:16,Signature Cocktail,龍柏,400,1,400,0,0,400
2022-08-24 20:37:16,Shot,House Shot(Gin),100,5,500,0,0,500
2022-08-25 23:29:48,Shot,6 Cocktail Shots(6杯一樣),0,1,0,0,0,0
2022-08-13 00:16:02,House Wine,Rockbare Clare Valley Riesling White Wine(Glass),0,1,0,0,0,0
2022-08-13 00:16:02,House Wine,Rockbare Clare Valley Riesling White Wine(Glass),0,2,0,0,0,0
2022-08-13 00:16:02,Signature Cocktail,琥珀,380,1,380,0,0,380
2022-08-13 00:16:02,Signature Cocktail,琥珀,380,1,380,0,0,380
2022-08-13 00:16:02,Signature Cocktail,雲初之上,400,1,400,0,0,400
2022-08-13 00:16:02,Signature Cocktail,尋根,400,1,400,0,0,400
2022-08-13 00:16:02,Signature Cocktail,哈庫那瑪塔塔,420,1,420,0,0,420
2022-08-13 00:16:02,Signature Cocktail,東方美人,420,1,420,0,0,420
2022-08-05 00:43:46,Signature Cocktail,尋根,400,1,400,0,0,400
2022-08-05 00:43:46,Signature Cocktail,西方世界,400,1,400,0,0,400
2022-08-05 00:43:46,Signature Cocktail,龍柏,400,1,400,0,0,400
2022-08-05 00:43:46,Signature Cocktail,浮生若夢,400,1,400,0,0,400
2022-08-05 00:43:46,Signature Cocktail,哈庫那瑪塔塔,420,1,420,0,0,420
2022-08-05 00:43:46,Signature Cocktail,山海關,420,1,420,0,0,420
2022-08-05 00:43:46,Gin,NORDÉS(Tonic),450,1,450,0,0,450
2022-08-05 00:43:46,Gin,NORDÉS(Tonic),450,1,450,0,0,450
2022-08-05 00:43:46,Gin,NORDÉS(Tonic),450,1,450,0,0,450
2022-08-09 01:37:59,Gin,TOBERMORY(Tonic),450,1,450,0,0,450
2022-08-07 23:27:30,Beer,1664 白啤酒,200,1,200,0,0,200
2022-08-07 23:27:30,Beer,1664 白啤酒,200,1,200,0,0,200
2022-08-07 23:27:30,Beer,1664 白啤酒,200,1,200,0,0,200
2022-08-07 23:27:30,Beer,1664 白啤酒,200,1,200,0,0,200
2022-08-07 23:27:30,Classic Cocktail,Mojito,350,1,350,0,0,350
2022-08-07 23:27:30,Classic Cocktail,Mojito,350,1,350,0,0,350
2022-08-07 23:27:30,Other Classic,Long Island Iced Tea,380,1,380,0,0,380
2022-08-07 23:27:30,Other Classic,Long Island Iced Tea,380,1,380,0,0,380
2022-08-07 23:27:30,Beer,1664 白啤酒,200,2,400,0,0,400
2022-08-07 23:27:30,Signature Cocktail,盛夏 (PERONI仲夏限定特調),400,1,400,0,0,400
2022-08-07 23:27:30,Signature Cocktail,東方美人,420,1,420,0,0,420
2022-08-07 23:27:30,Beer,PERONI draft beer,250,2,500,0,0,500
2022-08-28 21:29:05,Signature Cocktail,炙陽,380,1,380,0,0,380
2022-08-28 21:29:05,Signature Cocktail,盛夏 (PERONI仲夏限定特調),400,1,400,0,0,400
2022-08-07 00:42:56,Gin,TOBERMORY(Tonic),450,1,450,0,0,450
2022-08-07 00:42:56,Other Classic,JagerBomb,350,2,700,0,0,700
2022-08-17 22:34:43,Signature Cocktail,The MACALLAN Signature,450,1,450,0,0,450
2022-08-05 23:54:31,Signature Cocktail,琥珀,380,1,380,0,0,380
2022-08-05 23:54:31,Signature Cocktail,白霜,380,1,380,0,0,380
2022-08-05 23:54:31,Signature Cocktail,雲嫣,380,1,380,0,0,380
2022-08-05 23:54:31,Classic Cocktail,Mai Tai,380,1,380,0,0,380
2022-08-05 23:54:31,Signature Cocktail,琥珀,380,1,380,0,0,380
2022-08-05 23:54:31,Signature Cocktail,尋根,400,1,400,0,0,400
2022-08-29 23:27:54,Beer,PERONI draft beer,250,1,250,0,0,250
2022-08-29 23:27:54,Beer,PERONI draft beer,250,1,250,0,0,250
2022-08-29 23:27:54,Beer,PERONI draft beer,250,2,500,0,0,500
