"排名","名稱","數量","數量%","金額","金額%"
" 1","PERONI生啤酒買二送一","19","32%","4,750","24%"
" 2","員工眷屬優待","13","22%","2,719","14%"
" 3","整單手動折扣","12","20%","9,543","49%"
" 4","FunNow白金會員招待開胃小點","7","12%","840","4%"
" 5","店長招待","4","7%","870","4%"
" 6","店經理招待","2","3%","400","2%"
" 7","吧台經理招待","2","3%","300","2%"
