"交易序號","發票編號","類別名稱","商品名稱","數量","點單金額","客數","商品單位"
"20220801 21230014","","Signature Cocktail","龍柏","1","400","0","選擇追蹤單位"
"20220801 21230014","","過往活動及已下架產品","#crouchide 6","1","0","0","選擇追蹤單位"
"20220801 21230014","","特色餐點","烏金堅果乾酪燒","1","240","0","選擇追蹤單位"
"20220801 21290015","","Signature Cocktail","龍柏","1","400","0","選擇追蹤單位"
"20220801 21290015","","Other Classic","Sangria","1","380","0","選擇追蹤單位"
"20220801 21290015","","Signature Cocktail","琥珀","1","380","0","選擇追蹤單位"
"20220801 21290015","","Signature Cocktail","琥珀","1","380","0","選擇追蹤單位"
"20220801 21290015","","炸物","吉祥炸物拼盤","1","450","0","選擇追蹤單位"
"20220801 21340016","","Other Classic","Highball","1","280","0",""
"20220801 21340016","","House Wine","Rockbare McLaren Vale Grenache","1","250","0","選擇追蹤單位"
"20220801 21340016","","Shot","House Shot","1","100","0","選擇追蹤單位"
"20220801 21340016","","Beer","PERONI draft beer","1","250","0","選擇追蹤單位"
"20220801 21340016","","Other Classic","JagerBomb","2","700","0","選擇追蹤單位"
"20220801 21340016","","Soft Drink","Tree Top Apple Juice","1","120","0","選擇追蹤單位"
"20220801 21340016","","Special及活動","Special Cocktail","1","420","0","選擇追蹤單位"
"20220801 21340016","","Soft Drink","Coke","1","100","0","選擇追蹤單位"
"20220801 21340016","","Other Classic","Long Island Iced Tea","1","380","0",""
"20220801 21530017","","Signature Cocktail","雲嫣","1","380","0","選擇追蹤單位"
"20220801 21530017","","Signature Cocktail","尋根","1","400","0","選擇追蹤單位"
"20220801 21530017","","Signature Cocktail","琥珀","1","380","0","選擇追蹤單位"
"20220801 21530017","","Signature Cocktail","東方美人","1","420","0","選擇追蹤單位"
"20220801 22210018","","過往活動及已下架產品","綻","1","0","0",""
"20220801 22210018","","Signature Cocktail","龍柏","1","0","0","選擇追蹤單位"
"20220801 22210018","","過往活動及已下架產品","#crouchide 3","1","0","0","選擇追蹤單位"
"20220801 22210018","","Signature Cocktail","白霜","1","0","0","選擇追蹤單位"
"20220801 22210018","","Signature Cocktail","琥珀","1","0","0","選擇追蹤單位"
"20220801 22210018","","Signature Cocktail","炙陽","1","0","0","選擇追蹤單位"
"20220801 22210018","","Special及活動","服務鈴","1","0","0","選擇追蹤單位"
"20220801 22210018","","過往活動及已下架產品","#crouchide 5","1","0","0","選擇追蹤單位"
"20220801 22210018","","Special及活動","服務鈴","1","0","0","選擇追蹤單位"
"20220801 22210018","","過往活動及已下架產品","#crouchide 1","1","0","0","選擇追蹤單位"
"20220801 22210018","","過往活動及已下架產品","#crouchide 2","1","0","0","選擇追蹤單位"
"20220801 23190019","","香菸","七星硬盒10毫克","1","125","0","選擇追蹤單位"
"20220801 23590020","","主食","香辣干燒蝦拌麵","1","260","0","選擇追蹤單位"
"20220801 23590020","","Other Classic","Long Island Iced Tea","1","380","0",""
"20220801 23590020","","Signature Cocktail","琥珀","1","380","0","選擇追蹤單位"
"20220801 23590020","","Classic Cocktail","Side Car","1","350","0",""
"20220801 23590020","","Signature Cocktail","龍柏","1","400","0","選擇追蹤單位"
"20220801 23590020","","下酒菜","松阪豬炒水蓮","1","220","0","選擇追蹤單位"
"20220801 23590020","","Signature Cocktail","哈庫那瑪塔塔","1","420","0","選擇追蹤單位"
"20220801 23590020","","Other Classic","Long Island Iced Tea","1","380","0",""
"20220801 23590020","","Other Classic","Long Island Iced Tea","1","430","0",""
"20220801 23590020","","Signature Cocktail","山海關","1","420","0","選擇追蹤單位"
"20220801 23590020","","炸物","可樂果炸雞","1","320","0","選擇追蹤單位"
"20220802 01140021","","Classic Cocktail","Mai Tai","1","380","0","選擇追蹤單位"
"20220802 01140021","","Classic Cocktail","Aviation","1","350","0",""
"20220802 02000001","","Classic Cocktail","Gin  Tonic","1","320","0","選擇追蹤單位"
"20220802 02000001","","Other Classic","Vesper","1","320","0",""
"20220802 17220002","","香菸","雲斯頓呱旋風6毫克","1","100","0","選擇追蹤單位"
"20220802 17400003","","主食","香辣干燒蝦拌麵","1","260","0","選擇追蹤單位"
"20220802 17400003","","下酒菜","塔香菌菇炒蝦","1","380","0","選擇追蹤單位"
"20220802 17400003","","開胃小點","臥龍三椒鳳爪","1","120","0","選擇追蹤單位"
"20220802 17400003","","下酒菜","松阪豬炒水蓮","1","220","0","選擇追蹤單位"
"20220802 17400003","","湯物","酒蒸蛤蠣","1","320","0","選擇追蹤單位"
"20220802 17400003","","Other Classic","JagerBomb","1","350","0","選擇追蹤單位"
"20220802 17470005","","招待","招待Gin Shot","3","0","0","選擇追蹤單位"
"20220802 17470005","","招待","招待Whisky Shot","1","0","0","選擇追蹤單位"
"20220802 17470005","","招待","員工喝 Redbull","1","0","0","選擇追蹤單位"
"20220802 17470005","","招待","員工喝High Ball","1","0","0","選擇追蹤單位"
"20220802 17470005","","招待","招待Whisky Shot","8","0","0","選擇追蹤單位"
"20220802 17470005","","招待","招待Whisky Shot","1","0","0","選擇追蹤單位"
"20220802 17470005","","招待","招待Whisky Shot","6","0","0","選擇追蹤單位"
"20220802 17470005","","招待","招待伯爵鮮奶茶","1","0","0",""
"20220802 17470005","","招待","招待Whisky Shot","9","0","0","選擇追蹤單位"
"20220802 17470005","","招待","員工喝High Ball","1","0","0","選擇追蹤單位"
"20220802 17470005","","招待","招待伯爵鮮奶茶","1","0","0",""
"20220802 17470005","","招待","招待Gin Shot","3","0","0","選擇追蹤單位"
"20220802 18570006","","湯物","酒蒸蛤蠣","2","640","0","選擇追蹤單位"
