"分店代碼","建立時間","交易序號","用餐方式","桌號","單號","pos機號","發票號碼","服務費","低銷","折扣總額","結帳金額","淨額"
"01","2022-08-04 23:00:20","20220804 21220022","內用","B7","22","2","","108","0","0","1188","1131"
"01","2022-08-04 23:01:45","20220804 21390023","內用","B5","23","2","","104","0","0","1144","1090"
"01","2022-08-04 23:11:28","20220804 22380029","內用","A1","29","2","","0","0","0","0","0"
"01","2022-08-04 23:23:43","20220804 17550010","內用","A12","10","2","","465","0","120","4995","4757"
"01","2022-08-04 23:46:28","20220804 22370028","內用","B4","28","2","","62","0","0","682","650"
"01","2022-08-04 23:47:39","20220804 23120032","內用","A10","32","2","","120","0","0","1320","1257"
"01","2022-08-05 00:05:39","20220805 00050033","內用","站A","33","2","","0","0","0","125","119"
"01","2022-08-05 00:20:43","20220804 22490031","內用","A2","31","2","","98","0","0","1078","1027"
"01","2022-08-05 00:30:28","20220804 21090021","內用","A3","21","2","","148","0","0","1628","1550"
"01","2022-08-05 00:32:37","20220804 21470024","內用","A6","24","2","","159","0","0","1749","1666"
"01","2022-08-05 00:43:46","20220804 20070019","內用","A7","19","2","","449","0","0","4939","4704"
"01","2022-08-05 00:56:59","20220804 17550011","內用","B1","11","2","","61","0","0","671","639"
"01","2022-08-05 00:57:57","20220805 00230034","內用","B7","34","2","","0","0","0","0","0"
"01","2022-08-05 01:30:53","20220805 00580036","內用","B6","36","2","","70","0","0","770","733"
"01","2022-08-05 01:32:27","20220805 01160038","內用","B3","38","2","","38","0","114","304","290"
"01","2022-08-05 01:36:20","20220804 22410030","內用","A5","30","2","","179","0","0","1969","1875"
"01","2022-08-05 01:38:21","20220805 00530035","內用","A1","35","2","","0","0","0","0","0"
"01","2022-08-05 01:42:05","20220804 22000025","內用","B2","25","2","","76","0","228","608","579"
"01","2022-08-05 01:43:05","20220804 17560015","內用","B9","15","2","","322","0","0","3542","3373"
"01","2022-08-05 01:43:59","20220805 01030037","內用","A12","37","2","","53","0","0","583","555"
"01","2022-08-05 01:44:56","20220804 18280018","內用","員工","18","2","","0","0","0","0","0"
"01","2022-08-05 17:44:37","20220805 17440001","內用","員工","1","2","","0","0","0","100","95"
"01","2022-08-05 20:58:22","20220805 17470004","內用","A5","4","2","","240","0","0","2640","2514"
"01","2022-08-05 20:59:19","20220805 18410014","內用","B9","14","2","","290","0","0","3190","3038"
"01","2022-08-05 21:24:30","20220805 17460002","內用","A1","2","2","","168","0","0","1848","1760"
"01","2022-08-05 21:59:03","20220805 17490010","內用","大VIP-A","10","2","","352","0","0","3872","3688"
"01","2022-08-05 22:09:23","20220805 17470006","內用","A10","6","2","","244","0","0","2684","2556"
"01","2022-08-05 22:16:26","20220805 21050017","內用","A5","17","2","","154","0","0","1694","1613"
"01","2022-08-05 22:25:35","20220805 17470005","內用","A7","5","2","","751","0","0","8261","7868"
"01","2022-08-05 22:27:33","20220805 21310018","內用","大VIP-B","18","2","","163","0","0","1793","1708"
"01","2022-08-05 22:42:04","20220805 18000012","內用","B7","12","2","","158","0","0","1738","1655"
"01","2022-08-05 22:45:14","20220805 21560020","內用","B1","20","2","","42","0","0","462","440"
"01","2022-08-05 23:08:13","20220805 22390026","內用","A7","26","2","","117","0","0","1287","1226"
"01","2022-08-05 23:42:57","20220805 17470009","內用","B5","9","2","","148","0","0","1628","1550"
"01","2022-08-05 23:47:35","20220805 17470003","內用","A3","3","2","","416","0","0","4576","4358"
"01","2022-08-05 23:49:24","20220805 22190024","內用","A5","24","2","","132","0","0","1452","1383"
"01","2022-08-05 23:50:19","20220805 17470007","內用","A12","7","2","","369","0","450","4059","3866"
"01","2022-08-05 23:54:31","20220805 21320019","內用","A1","19","2","","230","0","0","2530","2410"
"01","2022-08-06 00:17:25","20220805 20410016","內用","小VIP","16","2","","254","0","0","2794","2661"
"01","2022-08-06 00:19:44","20220805 17470008","內用","B2","8","2","","368","0","0","4048","3855"
"01","2022-08-06 00:25:44","20220805 17490011","內用","大VIP-C","11","2","","451","0","0","4961","4725"
"01","2022-08-06 00:30:27","20220805 22380025","內用","B5","25","2","","96","0","0","1056","1006"
"01","2022-08-06 00:40:19","20220805 23350028","內用","A7","28","2","","111","0","0","1221","1163"
"01","2022-08-06 00:41:52","20220805 22190023","內用","A10","23","2","","291","0","0","3201","3049"
"01","2022-08-06 00:56:40","20220805 23320027","內用","B8","27","2","","173","0","0","1903","1812"
"01","2022-08-06 01:08:20","20220806 01070032","內用","站A","32","2","","0","0","0","125","119"
"01","2022-08-06 01:28:58","20220805 22100021","內用","大VIP-A","21","2","","701","0","0","7711","7344"
"01","2022-08-06 01:56:08","20220806 00030030","內用","A5","30","2","","168","0","0","1848","1760"
"01","2022-08-06 02:00:16","20220805 22100022","內用","B10","22","2","","191","0","0","2101","2001"
"01","2022-08-06 02:17:42","20220806 02020034","內用","B5","34","2","","0","0","0","450","429"
"01","2022-08-06 02:30:03","20220806 01050031","內用","A10","31","2","","164","0","0","1804","1718"
"01","2022-08-06 02:31:55","20220805 23560029","內用","A3","29","2","","595","0","0","6545","6233"
"01","2022-08-06 02:34:39","20220806 01520033","內用","B7","33","2","","35","0","0","385","367"
"01","2022-08-06 02:35:55","20220805 18210013","內用","員工","13","2","","0","0","0","0","0"
"01","2022-08-06 19:52:37","20220806 17510010","內用","B9","10","2","","170","0","0","1870","1781"
"01","2022-08-06 20:08:26","20220806 17510009","內用","B7","9","2","","210","0","120","2190","2086"
"01","2022-08-06 20:58:43","20220806 17510007","內用","A12","7","2","","273","0","0","3003","2860"
"01","2022-08-06 22:01:43","20220806 17500002","內用","A1","2","2","DK09469934","216","0","0","2376","2263"
"01","2022-08-06 22:10:18","20220806 17510008","內用","B5","8","2","","199","0","0","2189","2085"
"01","2022-08-06 22:11:50","20220806 17520011","內用","A3","11","2","","687","0","0","7557","7197"
"01","2022-08-06 23:00:46","20220806 20230015","內用","B8","15","2","","320","0","0","3520","3352"
"01","2022-08-06 23:05:36","20220806 23050019","內用","員工","19","2","","0","0","0","100","95"
"01","2022-08-06 23:24:58","20220806 21160017","內用","A12","17","2","","121","0","0","1331","1268"
"01","2022-08-07 00:36:43","20220806 23510020","內用","B7","20","2","","84","0","0","924","880"
"01","2022-08-07 00:42:56","20220807 00040021","內用","B4","21","2","","115","0","0","1265","1205"
"01","2022-08-07 00:45:42","20220806 17520012","內用","大VIP-A","12","2","","1669","0","0","18359","17485"
"01","2022-08-07 00:48:28","20220806 17500005","內用","A7","5","2","","562","0","0","6182","5888"
"01","2022-08-07 01:14:25","20220806 17510006","內用","A10","6","2","","481","0","0","5291","5039"
"01","2022-08-07 01:18:45","20220807 01180025","內用","站B","25","2","","0","0","1500","500","476"
"01","2022-08-07 01:20:18","20220806 17500003","內用","B3","3","2","","234","0","0","2574","2451"
"01","2022-08-07 01:24:57","20220807 00540022","內用","大VIP-A","22","2","","32","0","96","256","244"
"01","2022-08-07 01:38:36","20220806 19560014","內用","小VIP","14","2","","493","0","0","5423","5165"
"01","2022-08-07 01:46:30","20220806 22530018","內用","A1","18","2","","582","0","0","6402","6097"
"01","2022-08-07 01:48:10","20220807 00580023","內用","B5","23","2","","32","0","0","352","335"
"01","2022-08-07 02:22:48","20220806 20230016","內用","B10","16","2","","154","0","0","1694","1613"
"01","2022-08-07 02:26:34","20220806 17320001","內用","員工","1","2","","0","0","0","0","0"
"01","2022-08-07 21:34:09","20220807 21330009","內用","A3","9","2","","0","0","0","100","95"
"01","2022-08-07 22:06:44","20220807 21310008","內用","B7","8","2","","26","0","86","200","190"
"01","2022-08-07 22:49:23","20220807 22270011","內用","B4","11","2","","25","0","0","275","262"
"01","2022-08-07 23:04:02","20220807 22290012","內用","A12","12","2","","137","0","0","1507","1435"
"01","2022-08-07 23:07:29","20220807 18230003","內用","A1","3","2","","537","0","0","5907","5626"
"01","2022-08-07 23:27:30","20220807 19380005","內用","A10","5","2","","443","0","0","4873","4641"
"01","2022-08-07 23:34:33","20220807 19440006","內用","A3","6","2","","157","0","0","1727","1645"
"01","2022-08-07 23:38:22","20220807 23380014","內用","B5","13-1","2","","62","0","0","682","650"
"01","2022-08-07 23:38:52","20220807 22350013","內用","B5","13","2","","45","0","0","495","471"
"01","2022-08-08 00:22:13","20220807 20510007","內用","大VIP-A","7","2","","1439","0","5442","10387","9892"
"01","2022-08-08 01:21:15","20220807 22120010","內用","B8","10","2","","239","0","0","2629","2504"
"01","2022-08-08 01:23:22","20220807 18370004","內用","B9","4","2","","270","0","0","2970","2829"
"01","2022-08-08 01:25:35","20220808 00180015","內用","B10","14","2","","52","0","244","328","312"
"01","2022-08-08 01:27:18","20220808 01060016","內用","大VIP-A","15","2","","25","0","82","193","184"
"01","2022-08-08 01:28:36","20220807 17550001","內用","員工","1","2","","0","0","0","0","0"
"01","2022-08-08 01:48:54","20220808 01480019","內用","B7","18","2","","194","0","0","2134","2032"
"01","2022-08-08 20:11:23","20220808 17310001","內用","A1","1","2","","191","0","0","2101","2001"
"01","2022-08-08 23:11:19","20220808 21180004","內用","A7","4","2","","613","0","0","6743","6422"
"01","2022-08-09 00:07:10","20220808 20380003","內用","站A","3","2","","82","0","271","631","601"
"01","2022-08-09 00:40:36","20220808 22250006","內用","B6","6","2","","0","0","0","640","610"
"01","2022-08-09 00:51:01","20220808 21560005","內用","A1","5","2","","424","0","0","4664","4442"
"01","2022-08-09 01:37:59","20220809 01300008","內用","B9","8","2","","45","0","0","495","471"
"01","2022-08-09 01:39:14","20220809 00590007","內用","B7","7","2","","40","0","0","440","419"
"01","2022-08-09 01:43:14","20220809 01380010","內用","B2","10","2","","42","0","0","462","440"
"01","2022-08-09 01:45:41","20220809 01300009","內用","B5","9","2","","120","0","0","1320","1257"
"01","2022-08-09 01:46:38","20220808 17330002","內用","員工","2","2","","0","0","0","0","0"
