"分店代碼","分店名稱","建立時間","單號","用餐方式","pos機號","發票號碼","服務費","結帳金額","現金券金額","實收金額","交易金額","淨額","稅額","折扣總額","銷售總額","單品折扣總額","整單折扣總額","折扣名稱","付款方式","員工"
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-27 23:34:09","16","內用",2,"",183,2013,0,2013,2013,1917,96,0,2013,0,0,,"信用卡","90466979"
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-28 00:10:20","17","內用",2,"",367,4037,0,4037,4037,3845,192,0,4037,0,0,,"現金","90466979"
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-28 00:12:50","4","內用",2,"",764,8404,0,8404,8404,8004,400,0,8404,0,0,,"信用卡","90466979"
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-28 00:26:35","18","內用",2,"",276,3036,0,3036,3036,2891,145,0,3036,0,0,,"信用卡","90466979"
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-28 00:30:31","15","內用",2,"",174,1914,0,1914,1914,1823,91,0,1914,0,0,,"信用卡","90466979"
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-28 00:57:12","21","內用",2,"",116,1276,0,1276,1276,1215,61,0,1276,0,0,,"信用卡","90466979"
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-28 01:01:43","8","內用",2,"",252,2772,0,2772,2772,2640,132,0,2772,0,0,,"信用卡","90466979"
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-28 01:11:37","24","內用",2,"",70,770,0,770,770,733,37,0,770,0,0,,"現金","90466979"
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-28 01:14:04","25","內用",2,"",0,125,0,125,125,119,6,0,125,0,0,,"現金","90466979"
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-28 01:34:03","7","內用",2,"",273,3003,0,3003,3003,2860,143,0,3003,0,0,,"信用卡","90466979"
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-28 01:45:50","23","內用",2,"",272,2992,0,2992,2992,2850,142,0,2992,0,0,,"信用卡","90466979"
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-28 02:15:43","27-1","內用",2,"",40,440,0,440,440,419,21,0,440,0,0,,"現金","90466979"
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-28 02:16:20","27-2","內用",2,"",10,110,0,110,110,105,5,0,110,0,0,,"現金","90466979"
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-28 02:16:44","27","內用",2,"",40,440,0,440,440,419,21,0,440,0,0,,"現金","90466979"
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-28 02:19:47","3","內用",2,"",0,0,0,0,0,0,0,0,0,0,0,,"現金","90466979"
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-28 02:22:41","26","內用",2,"",80,880,0,880,880,838,42,0,880,0,0,,"現金","90466979"
